periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional
307,1905.26,3006.81,3702.69,2003.74,2431.63,2521.9,992.31,2843.65,2986.71,1646.87,1670.32,1149.31,1440.2,2245.64,1853.64,1559.19,1699.37,1944.5,3110.83,1089.26,1430.56,2030.53,3127.84,1691.05,2425.35,2510.53,1886.73,2527.06,1392.57,1506.86,1740.17,1496.82,1986.84
407,2049.1,3223.73,4125.45,2145.36,2500.06,2651.85,1062.36,2639.35,3073.53,1858.39,1705.38,1199.51,1572.95,2355.15,1868.44,1664.89,1784.91,2078.55,3253.59,1101.61,1450.18,2024.99,3270.4,1683.45,2488.71,2521.32,1999.13,2627.35,1468,1591.94,1909.59,1494.82,2052.43
108,2037.85,3075.32,3879.05,2137.35,2332.22,2628.45,1005.5,2641.36,2921.59,1664.93,1609.96,1252.26,1380.16,2291.72,1817.88,1555.75,1665.37,2128.22,3009.96,1145.81,1392.19,1914.5,3317.5,1619.55,2361.13,2548.73,1990.44,2477.57,1384.4,1551.67,1819.81,1316.83,1974.02
208,1887.91,3009.66,3855.84,2108.13,2241.11,2585.42,1009.53,2514.69,2752.14,1699.19,1548.01,1226.26,1439.77,2306.01,1864.83,1697.07,1571.49,2005.2,2930.96,1149.52,1359.33,1949.94,3258.1,1642.27,2324.27,2540.04,1944.92,2490.89,1395.09,1500.7,1792.33,1382.96,1951.42
308,1849.5,2846.06,3422.65,1985.62,2186.63,2572.16,975.26,2354.62,2686.65,1608.93,1481.69,1152.69,1419.86,2084.43,1772.18,1544.97,1518.83,1951.47,2873.83,1020.15,1341.96,1799.99,3105.72,1572.38,2296.34,2374.49,1908.3,2392.74,1370.65,1480.91,1733.3,1281.39,1865.8
408,1972.8,2816,3672.41,2080.45,2279.93,2693.14,1053.52,2313.81,2927.85,1682.48,1555.77,1146.3,1446.8,2226.3,1833.57,1750.83,1608.63,2118.88,2963.6,1094.79,1494.33,1980.16,3009.66,1690.26,2465.06,2384.6,1980.77,2503.63,1365.52,1603.36,1847.35,1386.25,1962.63
109,1637.5,2556.28,3206.51,1913.71,1952.4,2396.18,976.69,2138.12,2544.29,1482.91,1421.45,1095.28,1336.79,1921.81,1748.3,1573.72,1411.79,1954.29,2534.24,1019.61,1275.26,1723.11,2855.14,1484.92,2158.68,2208.05,1772.34,2294.45,1193.97,1455.3,1692.9,1184.57,1762.13
209,1637.62,2516.66,3011.02,1817.72,1968.67,2238.96,939.31,2099.25,2606.96,1443.65,1338.87,1049.29,1317.53,1903.02,1764.44,1518.82,1480.27,1918.99,2507.64,976.54,1211.81,1601.55,2667.06,1472.97,2137.84,2172.44,1713.87,2134.64,1214.57,1494.37,1634.43,1153.99,1738.4
309,1620.68,2298.18,2954.34,1841.42,1882.8,2341.56,1013.05,2035.57,2503.05,1429.7,1406.6,1029.53,1328.79,1847.05,1738.09,1521.71,1488.28,1855.21,2378.78,980.83,1242.48,1576.49,2502.22,1407.67,2073.73,2083.38,1652.44,2087.73,1150.25,1442.15,1709.45,1182.48,1701.93
409,1724.81,2455.1,2860.63,2012.68,2009.48,2351.48,1003.58,1999.31,2465.97,1429.29,1479.57,1108.26,1408.68,1999.17,1784.83,1628.17,1508.57,1960.28,2632.72,1029.21,1308.07,1742.66,2574.71,1433.45,2225.05,2118.81,1866.87,2132.85,1230.03,1526.93,1787.56,1284.22,1774.26
110,1677.39,2428.77,2808.88,1864.33,1888.93,2308.71,969.7,1930.71,2414.13,1383.83,1361.47,1087.56,1265.88,1829.41,1688.69,1526.29,1427.74,1821.33,2541.46,1003.25,1235.62,1653.2,2583.28,1384.37,2149.83,2250.69,1733.93,2022.48,1160.41,1503.52,1679.42,1178.93,1703.43
210,1666.07,2359.26,2960.03,1852.6,1904.35,2430.73,963.15,2017.26,2516.23,1440.64,1375.49,1081.99,1384.32,1932.72,1797.19,1519.06,1484.2,1884.34,2558.49,1029.63,1308.35,1706.97,2675,1441.39,2156.34,2099.19,1750.86,1950.02,1202.19,1487.62,1695.02,1258.9,1740.61
310,1647.13,2320.5,2749.54,1834.65,1885.54,2362.83,957.27,1897.62,2436.59,1406.63,1377.53,986.87,1376.35,1824.28,1768.6,1555.48,1443.29,1790.31,2465.28,961.32,1318.08,1664.99,2458.6,1414.06,2069.16,1845.58,1621.85,1822.13,1229.99,1406.36,1716.37,1330.14,1685.2
410,1612.14,2366.77,2750.65,1807.09,1816.87,2254.13,933.49,1698.65,2300.07,1406.23,1443.53,982.89,1355.52,1874.24,1748.78,1555.77,1480.16,1808.32,2465.16,1035.36,1260.13,1613.54,2485.49,1331.52,2074.64,2010.96,1629.21,1814.12,1190.61,1436.91,1767.06,1303.91,1672.25
111,1612.97,2381.62,2743.3,1855.36,1913.39,2220.67,1003.63,1674.65,2308.06,1360.85,1372.41,1090.14,1316.05,1913.21,1806.94,1595.6,1394.92,1808.44,2358.07,1001.53,1287.71,1686.48,2512.08,1287.9,2079.96,1905.04,1658.32,1921.81,1178.21,1469.75,1722.05,1246.84,1686.51
211,1588.23,2351.56,2813.34,1917.77,1987.09,2286.6,1023.45,1707.23,2455.77,1433.39,1421.93,1038.23,1350.75,1859.8,1839.7,1611.92,1486.43,1727.18,2371.16,1009.07,1270.15,1762.35,2510.92,1346.65,2069.33,2014.51,1568.74,1721.96,1272.08,1387.12,1716.28,1211.3,1697.71
311,1551.25,2241.35,2689.19,1875.9,2019.7,2138.88,960.5,1629.69,2439.52,1484.69,1397.27,976.73,1322.07,1803.63,1864.74,1547.31,1483.24,1664.26,2276.34,987.78,1200.73,1597.42,2375.7,1289.54,1892.48,1968.94,1547.12,1716.24,1200.71,1381.5,1674.93,1222.99,1654.26
411,1547.56,2330.96,3192.41,1995.41,2023.13,2257.01,993.4,1875.51,2458.75,1514.3,1413.88,994.26,1431.32,1874.64,1789.96,1642.88,1432,1779.6,2413.62,1054.93,1305.82,1682.12,2528.31,1324.57,2042.81,2071.65,1661.58,1706.07,1284.19,1375.93,1710.45,1236.03,1702.73
112,1547.74,2233.75,2787.2,1910.57,1874.97,2246.79,958.67,1742.75,2344.29,1431.17,1365.59,966.44,1277.55,1838.87,1746.13,1525.13,1447.43,1695.3,2219.24,1017.15,1316.54,1668.28,2513.39,1250.99,1954.91,1988.39,1619.86,1694.12,1174.61,1432.31,1640.38,1215.51,1644.31
212,1539.1,2206.66,2748.31,1918.04,1872.56,2206.15,918.69,1805.99,2336.67,1312.32,1337.59,955.05,1382.78,1853.4,1687.2,1543.45,1416.27,1636.12,2179,1015.55,1227.71,1610.93,2333.64,1206.1,1942.48,1887.93,1551.69,1704.76,1143.82,1408.35,1633.64,1182.45,1615.18
312,1505.28,2092.11,2779.27,1796.46,1941.95,2239.34,911.68,1844.85,2403.57,1286.2,1368.04,865.38,1327.34,1801.82,1618.04,1459.37,1314.39,1614.93,2237.93,1000.31,1249.94,1493.11,2254.61,1204.63,1764.84,1907.34,1599.82,1637.63,1226.34,1313.36,1661.67,1160.68,1587.36
412,1690.51,2314.13,3044.71,1998.71,2004.27,2318.75,948.85,1974.05,2455.17,1469.67,1464.74,912.98,1408.43,1933.32,1683.35,1512.06,1419.74,1749.43,2315.26,1034.77,1346.11,1538.42,2355.95,1384.2,2083.9,1970.9,1726.25,1751.94,1280.17,1514.51,1673.56,1238.94,1688.45
113,1520.14,2119.89,2534.95,1792.99,1903.97,2205.05,920.03,1732.56,2269.64,1330.67,1318,950.53,1238.31,1829.53,1640.62,1486.12,1238.27,1748.76,2082.97,953.44,1273.36,1544.11,2276.18,1192.54,1990.78,2272.74,1554.96,1665.83,1179.14,1319.58,1547.18,1165.62,1587.44
213,1559,2220.36,2622.64,1911.17,1976.75,2293.72,876.78,1899.51,2140.02,1440.02,1335.31,939.01,1378.81,1851.05,1567.27,1435.58,1272.55,1681.38,2239.56,923.29,1195,1493.78,2261.61,1254.27,1920.49,2055.71,1534.4,1728.01,1164.7,1323.47,1718.39,1091.21,1577.79
313,1403.08,2096.1,2638.96,1885.07,1975.46,2110.58,887.32,1835.36,2214.07,1310.06,1385.66,913.27,1279.41,1798.65,1437.87,1329.68,1226.26,1598.69,2076.32,915.63,1177.88,1510.19,2328.35,1246.56,1898.78,2031.06,1531.25,1604.4,1176.95,1312.96,1585.95,1108.21,1531
413,1611.72,2191.09,2656.31,1937.01,2044.26,2254.75,883.11,1962.4,2260.29,1347.13,1437.49,919.13,1366.98,1844.09,1675,1399.75,1293.28,1729.23,2111.59,872.42,1229.68,1564.67,2141.54,1316.25,1916.32,2119.86,1651.26,1695.36,1191.17,1406.05,1721.51,1150.71,1608.66
