periodo,Nacional,Urbano,Rural,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
t307,33.944458107676,27.4220934933721,54.461089064711,28.263893913965,13.5122319676794,10.526822845582,36.4522114314656,23.7508243330379,21.3099100244045,64.072136608139,20.4592826062331,20.7853268133227,37.9102412083143,34.782579651023,55.7854416201639,46.7614920597209,25.4815125513188,30.6229810730264,38.5146979684638,34.368885747387,32.1698254336549,13.9665766635256,55.5773694615718,43.9509377266698,29.794305330439,19.4806866501811,44.0711021631317,22.8596192091543,20.8913064740502,36.2490200096636,25.054792369577,42.9506135763289,44.6850418882197,38.3368882884649,41.1846767011898
t407,33.1327755730666,26.6520742861624,53.5229262175169,29.3385829421365,13.915418841745,10.0099635143904,35.5200034213234,23.7659956354496,18.5579300677005,63.5095070156015,19.3859662601792,20.717207603039,32.4213771041778,33.432100960932,55.1794641964541,43.8174977758938,24.5811272384432,28.7368597024759,37.9450612680606,35.4165976999318,27.8541496955899,13.9247665940229,56.6647759972588,44.0878854402998,27.9093351135695,17.8331912538551,43.7037334612162,21.3427828554235,20.8435641579796,32.7285753895009,25.3778502803739,42.7881256355319,43.8669218706448,36.6692826036643,44.677711117046
t108,33.1715143072173,26.8735564584182,53.0490541321997,27.4359371682076,13.0312115348894,12.0415021628824,33.2966622644677,24.4452664435428,18.4316348140717,62.5692627145758,19.5820257678806,19.1018165695733,36.7679437211277,35.8047419944669,53.7647999388524,44.3765949832551,23.005057565857,29.9987399215781,37.7317353916988,35.2851371644552,28.2959687829196,15.7420262402999,55.6116932447172,46.0124064708031,29.3165419807027,17.2010887837287,42.6142001781928,20.8030317689518,21.7982022150906,33.253304862116,22.3630712316035,45.6495995557087,42.3121921965441,36.4251455160691,48.242653337818
t208,32.8720205943225,26.6530991615951,52.3820397774452,28.9599157775279,12.0531261615383,11.4531213386814,34.1879209561649,22.898766614352,18.1376661368522,63.5477621650194,20.4145354246338,20.5049835909038,35.6518915164043,35.4196351293658,52.1510346694286,42.725300335057,23.2074002286331,30.2901286604905,36.0830994401633,34.5544799893108,27.9302003699536,15.6087356386818,54.0710740046914,44.7029633376542,27.9807870406706,15.8780348706,42.6578651758418,20.1525085898854,18.8891353983198,32.8989192475405,24.0477891777279,43.1963962791303,42.4226392946066,35.28968480298,46.3268253113571
t308,35.7535778290733,29.5969206739049,55.2477255210483,31.4846542439117,15.7319396354238,12.1904742196217,35.8801333179065,27.3767791983645,17.6613707987696,63.91125832734,23.6236809864443,23.0876629183355,36.6276482233966,39.3309656054331,54.6886413511452,45.5548814588945,28.4611896514975,32.5635887199541,39.6686750556417,39.1025223780919,33.2208127748079,17.6076358319403,58.9909827482067,47.8099715911544,30.485378074104,18.1299569271383,44.5491842526999,25.5374197498814,23.2627226530375,35.1439413420106,27.2745086113225,48.19215767659,43.6634886237268,37.8489155220873,47.4941443453059
t408,37.3642077789996,31.486382759618,55.7436776762258,32.5899835836621,18.703442301909,14.6735465557599,38.1711877824405,27.8481547346626,19.4613682142591,65.6022839238086,27.7757008704719,24.964249839403,39.4918736917572,41.8827324145619,58.6040566251236,46.6378480738794,29.408998135183,33.0496477855852,38.8083396926858,42.0925624481394,30.314200303299,19.0937225708052,59.9079480770591,50.3722027194964,31.7419174297801,21.3887784398866,48.3541632986194,23.98721793615,24.8399978706274,36.773835179904,29.6920746827328,49.0819752617933,45.733744592654,39.5402243018901,48.2211777498775
t109,37.2730661502888,31.4530772724115,55.3801122043771,38.4939736099016,18.8548323782225,15.0568087278943,36.7684331582846,30.1280734911425,19.5153936599652,62.9048669698249,31.7045385974893,26.3840692521375,39.7009302361017,41.262295821629,55.6368061688242,45.9540639192247,29.4860583707493,32.9377132012393,36.1510810077893,43.5780997876957,28.9354339331104,21.1669649576799,57.8701521745609,48.6903724297956,34.8003245815921,18.8542385261535,48.1473094772105,24.291356103724,26.6227904394975,35.5402782450702,29.5355362560519,51.1354896670488,45.0464598559266,39.3808675696149,51.2931570892824
t209,38.7315878727966,32.8048790439804,57.2481664533464,36.7116892561596,19.1820992077013,14.6083755435814,39.903063873983,31.8942449945942,22.267118401681,64.1426950627254,33.1399139798954,27.0995961677645,40.6325827613282,42.9868542036254,58.2847084662743,49.5948993223498,29.6292279670447,34.4907307650383,39.8969161034731,40.8797116384653,29.513088022314,23.1811815438209,61.9177648643702,53.0556762375144,37.6836146647769,22.8486757972996,47.3162860056158,25.6611290233646,24.8012304328759,34.6827041142629,31.5635036917455,50.8989417131522,45.4279468431973,40.1619489052968,51.8758553132637
t309,39.5177962861156,33.5815870135898,57.8167652503535,39.230856577805,23.2475184192275,19.2536710133457,39.4683347136356,34.5653941903325,23.8856239188204,65.169142963851,32.4295657776393,27.3656109640567,43.3835681359076,43.6184814118546,59.6693680001928,47.3440722004847,29.6679087034765,33.2278566198254,40.9839875866479,41.5496972797656,33.6424324048368,24.2891461980889,60.375388200264,52.3109312806342,38.7042305920482,24.6398276894418,47.2341355275124,28.6746092062746,30.5912042249156,40.2657711808104,33.5617440735164,53.8174209765071,46.9861083520819,38.9600396569966,51.6032001794428
t409,38.9207351496454,33.2774684126966,56.3326576195191,37.138493980734,22.6981551456671,23.9310972408169,37.2872089297028,32.6990811244943,24.1108685532403,65.0170667446704,31.4652136246974,29.1664585302646,44.0757203539532,42.9504489513055,58.7531608725056,48.3598293180273,31.7916535985957,34.3269157104635,36.6033760124175,42.6635838326869,32.9334825727175,22.0277361633914,61.6632509819625,49.964704158217,36.1625034685593,26.550337817599,48.0714912357697,23.2664165705226,25.7246205635142,37.1971704930299,32.041130753341,54.435145198463,44.6978753808447,38.9030338240321,50.1005564688952
