periodo,Nacional,Urbano,Rural,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
412,1.0575,1.0815,1.0072,1.1051,1.1658,1.0841,0.954,0.8771,1.0877,1.0459,0.9731,1.1406,0.9301,0.9845,1.1492,0.9369,1.0142,1.0495,1.1011,1.1621,1.1056,1.279,1.0027,1.0486,1.196,1.1769,1.1067,1.1368,1.0754,1.118,1.1112,1.0076,0.9841,1.0628,1.0717
113,1.0405,1.0573,1.003,1.0961,1.1267,1.0475,0.8764,0.8658,1.0724,1.0264,1.0005,1.1676,1.0218,0.9934,1.0585,1.0034,0.9739,1.0727,0.9286,1.2353,1.0002,1.2653,1.008,0.995,1.0805,1.1455,1.1241,1.132,0.975,1.1357,1.11,0.9622,0.9831,1.0232,1.1184
213,1.0554,1.0682,1.0258,1.067,1.0692,1.1338,0.8703,0.7759,1.1219,1.0543,0.9487,1.2592,1.0368,1.0324,1.1042,0.9325,0.9496,1.0909,1.0221,1.148,1.0672,1.1268,1.022,1.0709,1.1514,1.0734,1.0719,1.2064,0.8754,1.1336,1.0879,1.0106,1.0119,1.068,1.0685
313,1.0718,1.0942,1.026,1.0771,1.1236,1.1528,0.8996,0.7902,1.1761,1.0221,0.9389,1.2679,1.0599,0.9341,1.0765,0.9595,0.9887,1.124,1.1352,1.2089,1.1113,1.2856,1.0361,1.0468,1.1522,1.1406,1.0783,1.3194,0.9883,1.0676,1.1638,0.9635,1.072,0.9941,1.0534
413,1.0597,1.0893,0.9976,0.9891,1.0216,1.1091,0.9173,0.7998,1.0915,1.0662,0.9253,1.1923,1.0836,0.909,1.0953,0.9564,0.9838,1.0676,1.1388,1.2479,1.0329,1.2303,1.1033,1.0229,1.1427,1.2189,1.047,1.1652,0.9749,1.0445,1.1205,0.9973,1.0466,1.0334,1.0716
114,1.0825,1.1118,1.0242,1.0749,1.2347,1.2466,0.9975,0.8853,1.1045,1.0635,1.0105,1.2501,1.0905,0.9684,1.0476,0.9724,1.0058,1.1178,1.0901,1.2738,1.0205,1.2878,1.0487,1.0491,1.0902,1.2082,1.1047,1.2032,0.9111,1.0735,1.1756,1.0207,1.0923,1.0737,1.1248
214,1.0726,1.1258,0.9699,1.0657,1.2102,1.2749,0.9727,0.8069,1.0568,1.068,0.8328,1.2787,1.1193,0.9462,1.0104,0.9452,0.9614,1.1294,1.0863,1.263,1.0873,1.2812,1.0337,1.0536,1.16,1.2455,1.0915,1.4021,0.9633,1.0283,1.1636,1.0322,1.0625,1.0492,1.0787
314,1.101,1.1357,1.0283,1.0719,1.276,1.3231,1.0102,0.7874,1.0706,1.0803,0.866,1.3101,1.0837,0.9677,1.1196,0.968,0.9408,1.1224,1.1595,1.3302,1.1122,1.2168,1.0579,1.0624,1.2136,1.2648,1.1173,1.431,1.0736,0.9866,1.2945,1.0068,1.1513,1.0387,1.1302
414,1.1043,1.1434,1.0249,1.0519,1.257,1.1508,1.0387,0.8192,1.1902,1.1002,0.8772,1.418,1.0803,0.9967,1.058,0.9218,0.9927,1.1542,1.0825,1.2995,1.0812,1.1889,1.0754,1.0545,1.2094,1.3388,1.073,1.2226,0.9607,0.9976,1.183,1.0082,1.2236,1.0159,1.1172
115,1.0628,1.095,0.996,1.0181,1.1367,1.1827,0.9689,0.8351,1.1603,1.0623,0.8743,1.2816,1.0673,0.9532,1.0353,0.9093,0.9837,1.0966,1.0873,1.218,1.0877,1.2473,1.033,1.016,1.0045,1.2763,1.101,1.0464,0.9502,0.993,1.1769,0.9476,1.1365,0.9831,1.1222
215,1.0658,1.106,0.9867,0.9938,1.1206,1.0817,0.9644,0.7571,1.1556,1.0759,0.7868,1.3732,0.9734,0.9397,1.0562,0.9172,0.9123,1.1856,1.0294,1.2287,1.0265,1.235,1.046,1.0229,1.1134,1.2145,1.089,1.1415,0.8625,0.9952,1.1667,0.9614,1.1366,0.948,1.1022
315,1.0579,1.0927,0.9887,1.0066,1.2361,1.0897,0.9743,0.8084,1.1783,1.0694,0.8212,1.1768,0.9487,0.9524,1.1016,0.861,0.9215,1.1946,1.0605,1.2974,1.13,1.038,1.0325,0.9893,1.06,1.237,1.1302,1.18,0.9539,0.9508,1.1442,0.9391,1.1162,0.9894,1.0285
415,1.0817,1.1404,0.9687,0.9823,1.2166,1.0038,0.9634,0.8205,1.247,1.0868,0.7962,1.3166,0.9697,0.9528,1.1011,0.9026,0.9262,1.2032,1.0919,1.4349,1.1093,1.1335,0.9995,1.0302,1.0803,1.2041,1.0794,1.2098,0.9735,1.0634,1.1651,0.9472,1.1604,1.0553,1.0583
116,1.0742,1.1377,0.9529,1.0154,1.2107,1.0809,0.9644,0.8075,1.2392,1.0451,0.8454,1.32,0.914,0.8605,1.0684,0.9224,0.903,1.2169,1.0487,1.3409,1.0591,1.2224,1.0537,1.0196,0.9975,1.112,1.1041,1.1919,1.058,1.0342,1.1558,0.9594,1.1806,1.0628,1.1157
216,1.0552,1.1063,0.9575,0.9859,1.154,1.1418,0.9542,0.8328,1.2159,1.0544,0.6924,1.3792,0.9074,0.8559,1.0819,0.9337,0.9153,1.1502,1.0072,1.315,1.061,1.1468,1.0117,0.9838,1.0562,1.0933,1.1256,1.2327,0.9846,1.0378,1.1368,0.9054,1.1829,1.0195,0.9999
316,1.0297,1.0716,0.9482,0.908,1.0893,1.1796,0.9434,0.752,1.0992,1.0416,0.6865,1.2926,0.8643,0.9108,1.0873,0.7999,0.8841,1.1209,0.9908,1.2787,1.0474,1.0622,1.0459,0.9603,1.0956,1.0742,0.9954,1.2221,1.0669,1.0742,1.0817,0.9118,1.1532,0.9874,0.9747
416,1.0294,1.0674,0.953,0.8992,1.062,1.0891,0.9149,0.7843,1.1383,1.0733,0.6567,1.2032,0.8389,0.8752,1.1165,0.849,0.8544,1.0968,1.064,1.2756,0.9739,1.0043,1.0354,0.9972,1.116,1.151,1.1066,0.978,0.9458,1.1526,1.09,0.9198,1.1975,0.9417,1.0198
117,1.0029,1.037,0.9329,0.9338,1.1196,0.9682,0.9628,0.7206,1.1376,1.0475,0.6663,1.1832,0.8562,0.7926,1.0226,1.0614,0.7271,1.0587,0.9311,1.2212,0.9671,1.0205,1.0446,0.9839,1.0679,1.1154,1.0431,1.0466,0.9771,1.1282,1.1316,0.898,1.132,0.9726,1.0596
217,1.0325,1.0718,0.951,0.9328,1.1997,1.0241,1.0692,0.7832,1.2524,1.0539,0.735,1.1679,0.8561,0.8081,1.1034,0.9068,0.7857,1.1443,1.0377,1.2666,0.9798,1.1072,1.0522,0.9475,1.2216,1.184,0.9821,1.1796,0.87,1.251,1.1157,0.894,1.1672,0.9737,0.9252
317,1.0767,1.1161,0.9932,1.0065,1.2881,1.1318,1.073,0.8305,1.2068,1.1008,0.7852,1.3328,0.8696,0.8154,1.1406,1.0141,0.8013,1.1465,1.0702,1.3306,1.0703,1.1033,1.0701,1.0309,1.2255,1.1107,0.9647,1.1281,1.0392,1.3214,1.1791,0.9034,1.2382,1.0065,1.0008
417,1.057,1.1,0.9698,0.9871,1.1944,0.992,1.0184,0.7884,1.1143,1.0996,0.7347,1.4643,0.9092,0.8246,1.1239,1.0259,0.8204,1.1241,0.9919,1.3189,0.9526,1.0915,1.0759,0.9444,1.1595,1.1635,0.9762,1.0763,0.8913,1.3119,1.1814,0.8833,1.1898,1.0071,0.9596
118,1.0079,1.0524,0.9169,0.9477,1.0844,1.0816,1.0236,0.7803,1.13,1.0529,0.7493,1.2025,0.9134,0.705,1.081,0.9851,0.7611,1.0752,0.9601,1.3603,0.9107,1.131,1.0631,0.9351,0.9311,1.1596,0.9979,0.939,0.9256,1.2446,1.1269,0.8877,1.1273,0.9849,1.0127
218,0.9908,1.0275,0.9155,0.8425,1.0147,0.9229,1.0414,0.7289,1.0975,1.066,0.7306,1.1744,0.8393,0.7327,1.0294,0.9659,0.7972,1.0769,0.8943,1.3293,0.8899,1.0139,1.0305,0.8985,1.0132,1.1267,0.9133,1.0961,0.9276,1.1982,1.0307,0.8565,1.1433,0.9003,0.9582
318,1.0119,1.0537,0.9238,0.9259,1.1124,1.1126,1.0634,0.7768,1.1055,1.0448,0.7121,1.2027,0.9027,0.7648,1.1198,0.948,0.7973,1.0802,0.9115,1.4134,1.0253,1.0263,1.0667,0.9381,1.031,1.1038,0.9744,1.2168,0.9987,1.2771,1.0744,0.8766,1.1008,0.9218,0.9373
418,1.0251,1.0612,0.9485,0.9234,1.0629,1.095,1.0625,0.7648,1.0805,1.084,0.7415,1.24,0.8704,0.7476,1.0764,0.954,0.8669,1.1213,0.9293,1.4049,1.0463,1.1103,1.0678,0.9119,1.0251,1.0794,0.9693,1.1476,1.0043,1.3147,1.063,0.8924,1.1474,0.9,0.9703
