periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional,inpc,base
116,1715.81,2182,2800.41,1884.18,2106.42,2229.22,971.15,2213.26,2347.15,1556.47,1558.75,990.3,1420.44,2041.07,1595.72,1508.88,1283.65,1835.81,2188.04,929.08,1306.16,1806.21,2370.59,1378.89,1979.64,2147.16,1595.25,1767.35,1323.71,1268.96,1690.3,1222.17,1665.7,89.69,1.23
216,1788.53,2255.6,2768.69,1858.44,2134.11,2206.92,911.66,2419.53,2327.39,1604.88,1662.63,981.52,1397.35,2012.93,1611.55,1534.07,1230.13,1811.56,2382.14,977.94,1319.16,1720.28,2434.54,1428.94,2009.05,2272.79,1561.12,1794.27,1366.98,1265.52,1735.05,1319.83,1689.49,89.39,1.22
316,1779.25,2405.77,2839,1831.35,2222.49,2217.94,932.3,2517.87,2512.03,1617.38,1539.44,931.35,1493.8,2061.72,1727.95,1521.8,1280.97,1857.72,2323.23,942.08,1376.76,1752.9,2428.65,1501.46,1939.64,2137.67,1493.33,1870.44,1343.9,1250.9,1767.88,1314.77,1729.31,89.91,1.23
416,1750.65,2290.87,3053.8,1799.86,2132.22,2250.46,914.51,2481.5,2575.41,1633.18,1605.15,925.59,1450.87,2059.55,1636.89,1486.31,1236.75,1826.09,2461.02,982.62,1320.11,1696.49,2377.57,1308.08,2067.07,2229.49,1408.59,1824.81,1333.7,1204.35,1812.1,1273.04,1711.62,91.52,1.25
117,1741.41,2220.44,2947.37,1750.51,2182.6,2290.03,916.02,2510.68,2450.19,1623.82,1589.58,1041.57,1277.09,2165.81,1651.25,1576.27,1307.89,1865.45,2438.68,947.23,1359.51,1764.1,2312.73,1443.7,2063.99,2247.69,1483.83,1749.28,1310.6,1203.46,1808.45,1259.02,1716.72,94.16,1.29
217,1741.38,2299.54,2989.32,1657.84,2195.78,2179.38,897.52,2376.63,2549.52,1645.52,1614.77,982.76,1345.49,2083.08,1641.06,1486.17,1265.09,1844.67,2325.91,938.33,1367.32,1628.69,2303.67,1471.84,2064.15,2224.88,1429.88,1788.85,1340.27,1227.26,1801.4,1378.48,1705.95,94.84,1.3
317,1629.22,2206.1,2967,1657.83,2125.29,2271.51,862.08,2442.9,2457.13,1670.57,1601.6,932.74,1369.6,2118.16,1673.58,1485.05,1261.11,1809.73,2427.19,931.59,1337.9,1571.22,2396.26,1559.43,1984.72,2143.75,1355.44,1689.53,1388.58,1191.52,1755.79,1306.54,1692.61,95.74,1.31
417,1628.44,2248.27,2921.33,1717.92,2143.29,2270.76,858.14,2358.52,2214.99,1578.74,1688.68,915.57,1298.26,2088.7,1633.18,1517.54,1223.1,1953.36,2310.15,912.95,1354.61,1671.08,2358.52,1452.23,2027.52,2210,1364.73,1735.29,1354.8,1197.18,1774.31,1306.52,1669.31,97.56,1.34
118,1679.02,2364.15,2913.85,1688.38,2112.76,2384.41,898.62,2302.23,2467.26,1577.13,1755.71,984.63,1316.12,2152.51,1698.21,1567.63,1235.95,1948.25,2299.14,933.26,1434.87,1926.63,2274.43,1503.19,2148.6,2179.49,1397.2,1832.94,1382.31,1257.59,1727.72,1238.57,1727.88,99.15,1.36
218,1748.61,2477.95,3036.07,1765.25,2202.05,2362.09,904.18,2411.28,2488.35,1645.23,1785.72,994.3,1331.98,2098.19,1725.24,1622.09,1227.57,1969.95,2440.29,977.91,1411.56,1903.28,2415.71,1571.91,2074.46,2266.37,1437.35,1905.11,1394.17,1272.05,1806.25,1295.36,1758.72,99.18,1.36
318,1685.95,2306.81,2962.23,1738.19,2170.96,2500.92,907.83,2391.94,2437.34,1569.45,1746.01,933.86,1394.32,2115.77,1689.06,1586.73,1183.82,1927.1,2471.68,943.03,1435.37,1852.12,2458.01,1527.18,2018.91,2184.17,1357.52,1923.46,1391.25,1318.9,1825.85,1338.46,1738.78,100.44,1.38
418,1688.72,2327.8,3064.09,1690.24,2168.67,2387.36,871.08,2313.88,2348.88,1639.21,1721.89,960.99,1358.02,2114.26,1670.68,1595.26,1169.6,1850.97,2363.68,963.27,1424.5,1863.11,2412.73,1553.8,1993.6,2290.39,1355.9,1842.72,1342.5,1230.03,1903.64,1312.14,1717.9,102.25,1.4
